simulation_id,candidate_id,source_manifest,source_path,source_experiment,source,source_class,source_pool,sampling_method,seed,observation_independent,observed_directed,observed_directed_evidence,parameterization,parameter_dim,parameter_vector_available,parameter_vector_hash,parameter_vector_hash_computed,parameter_vector_path,feature_root,qsim_path,qsim_available,qsim_period,qsim_rows,qsim_sha256,objective_available,status,physical_swat_run,validation_or_final_data_touched,development_only,validation_touched,final_test_touched,contains_locked_validation,contains_final_test,paper_contamination,usable_for_A1_A2,usable_for_A1,usable_for_A2,study_area,swat_revision,record_kind,notes
archive-index:000022:SMOKE_MULTI_2,SMOKE_MULTI_2,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\_smoke\real_multi_worker\SMOKE_MULTI_2\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,dbee56ad4fb43921247641b7275d2fcbf40e8e2a206ff2226299ed5d9976a250,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\_smoke\real_multi_worker\SMOKE_MULTI_2\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000023:swat_single_run,swat_single_run,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\_smoke\swat_single_run\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,dbee56ad4fb43921247641b7275d2fcbf40e8e2a206ff2226299ed5d9976a250,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\_smoke\swat_single_run\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000024:SENSITIVITY_JOINT_00081,SENSITIVITY_JOINT_00081,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00081\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,69892d4ca24e94efc9e071e254f0ca6d018479e0f4714b22334ed54c47588587,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00081\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000025:SENSITIVITY_JOINT_00082,SENSITIVITY_JOINT_00082,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00082\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,bec6b6d87615c35e4cc19a2e519105935f9dd8c8ca4534cb64a84cc9bfe39220,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00082\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000026:SENSITIVITY_JOINT_00083,SENSITIVITY_JOINT_00083,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00083\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,084a5433c68103a404c4394efab2fc4d22420885d5741a7c0e4544026037df89,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00083\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000027:SENSITIVITY_JOINT_00084,SENSITIVITY_JOINT_00084,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00084\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,c89a300f02034835488e49887fc4e6d117b08f73c14474b9bfb2661475d6c000,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00084\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000028:SENSITIVITY_JOINT_00085,SENSITIVITY_JOINT_00085,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00085\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,74d043a0498fc47902db711885c22651814e78123eae2fae91ae630fb524da52,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00085\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000029:SENSITIVITY_JOINT_00086,SENSITIVITY_JOINT_00086,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00086\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,0c062c27768e645c1ac4822482f135fa099283a93daa650326ff39e913aed13b,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00086\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000030:SENSITIVITY_JOINT_00087,SENSITIVITY_JOINT_00087,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00087\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,957d3043f897ee5c76d16deab6b26e57b1adccca07025b30e2e62d920b877fd3,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00087\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000031:SENSITIVITY_JOINT_00088,SENSITIVITY_JOINT_00088,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00088\TxtInOut,HydroC HIRR sensitivity / reachability,HydroC HIRR sensitivity / reachability,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC HIRR sensitivity / reachability,heterogeneous_archive_unknown_dim,14,YES,4102ad938bff412d253236e2ea2f6f744acad6ba1796935eb74ab978b5f430fa,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_HIRR_V3\checkpoints\candidates\SENSITIVITY_JOINT_00088\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000032:V2_PROCESS_EXTRACTION_COPY,V2_PROCESS_EXTRACTION_COPY,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_PRR_V2\V2_PROCESS_EXTRACTION_COPY\TxtInOut,HydroC PRR process extraction,HydroC PRR process extraction,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=HydroC PRR process extraction,heterogeneous_archive_unknown_dim,14,YES,dbee56ad4fb43921247641b7275d2fcbf40e8e2a206ff2226299ed5d9976a250,,,D:\SWAT+_3V3\A_SouthBranchPotomac\HYDROC_PRR_V2\V2_PROCESS_EXTRACTION_COPY\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,unclassified archive record
archive-index:000059:qa,qa,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\SC_MVP_COUPLING\trust_region\candidates\PILOT_004\qa,SWAT/MVP baseline or audit,SWAT/MVP baseline or audit,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=SWAT/MVP baseline or audit,heterogeneous_archive_unknown_dim,0,NO,,,,D:\SWAT+_3V3\A_SouthBranchPotomac\SC_MVP_COUPLING\trust_region\candidates\PILOT_004\qa,,NO,development_only_claimed_by_archive_audit,0,,NO,UNKNOWN,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000060:smoke_01_local_runoff,smoke_01_local_runoff,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\SC_MVP_INTERFACE_SMOKE_FINAL\smoke_01_local_runoff\TxtInOut,SWAT/MVP baseline or audit,SWAT/MVP baseline or audit,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=SWAT/MVP baseline or audit,heterogeneous_archive_unknown_dim,14,YES,dbee56ad4fb43921247641b7275d2fcbf40e8e2a206ff2226299ed5d9976a250,,,D:\SWAT+_3V3\A_SouthBranchPotomac\SC_MVP_INTERFACE_SMOKE_FINAL\smoke_01_local_runoff\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000061:smoke_02_awc,smoke_02_awc,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\SC_MVP_INTERFACE_SMOKE_FINAL\smoke_02_awc\TxtInOut,SWAT/MVP baseline or audit,SWAT/MVP baseline or audit,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=SWAT/MVP baseline or audit,heterogeneous_archive_unknown_dim,14,YES,8bb323e47d8809d37d363ef8b5517ab9549490ce8fb88529f1693274b183d376,,,D:\SWAT+_3V3\A_SouthBranchPotomac\SC_MVP_INTERFACE_SMOKE_FINAL\smoke_02_awc\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
archive-index:000062:smoke_03_perco,smoke_03_perco,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\EXISTING_REAL_SWAT_ASSET_INDEX.csv,D:\SWAT+_3V3\A_SouthBranchPotomac\SC_MVP_INTERFACE_SMOKE_FINAL\smoke_03_perco\TxtInOut,SWAT/MVP baseline or audit,SWAT/MVP baseline or audit,unknown,unknown,unknown_legacy_archive,,NO,NO,archive source=SWAT/MVP baseline or audit,heterogeneous_archive_unknown_dim,14,YES,8cf2b2f967bc39d244850472d467c54c1c8c566a75fd5a6abdd13bc9c5872d57,,,D:\SWAT+_3V3\A_SouthBranchPotomac\SC_MVP_INTERFACE_SMOKE_FINAL\smoke_03_perco\TxtInOut,,YES,development_only_claimed_by_archive_audit,0,,YES,COMPLETE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,A_SOUTH_BRANCH_POTOMAC,62,historical_archive_index,not proven broad and not admitted to A1/A2
